0.133	0 0 0.346852 0.433013 0.82788 1 1 1.15315 0.433013 0.82788 
0.134	0 0 0.346858 0.433013 0.827882 1 1 1.15314 0.433013 0.827882 
0.135	0 0 0.346864 0.433013 0.827884 1 1 1.15314 0.433013 0.827884 
0.136	0 0 0.34687 0.433013 0.827887 1 1 1.15313 0.433013 0.827887 
0.137	0 0 0.346874 0.433013 0.827889 1 1 1.15313 0.433013 0.827889 
0.138	0 0 0.346878 0.433013 0.827891 1 1 1.15312 0.433013 0.827891 
0.139	0 0 0.346882 0.433013 0.827894 1 1 1.15312 0.433013 0.827894 
0.14	0 0 0.346885 0.433013 0.827896 1 1 1.15312 0.433013 0.827896 
0.141	0 0 0.346887 0.433013 0.827899 1 1 1.15311 0.433013 0.827899 
0.142	0 0 0.346889 0.433013 0.827901 1 1 1.15311 0.433013 0.827901 
0.143	0 0 0.34689 0.433013 0.827904 1 1 1.15311 0.433013 0.827904 
0.144	0 0 0.346891 0.433013 0.827906 1 1 1.15311 0.433013 0.827906 
0.145	0 0 0.346892 0.433013 0.827909 1 1 1.15311 0.433013 0.827909 
0.146	0 0 0.346892 0.433013 0.827911 1 1 1.15311 0.433013 0.827911 
0.147	0 0 0.346891 0.433013 0.827914 1 1 1.15311 0.433013 0.827914 
0.148	0 0 0.34689 0.433013 0.827917 1 1 1.15311 0.433013 0.827917 
0.149	0 0 0.346889 0.433013 0.82792 1 1 1.15311 0.433013 0.82792 
0.15	0 0 0.346887 0.433013 0.827922 1 1 1.15311 0.433013 0.827922 
0.151	0 0 0.346885 0.433013 0.827925 1 1 1.15312 0.433013 0.827925 
0.152	0 0 0.346882 0.433013 0.827928 1 1 1.15312 0.433013 0.827928 
0.153	0 0 0.346879 0.433013 0.827931 1 1 1.15312 0.433013 0.827931 
0.154	0 0 0.346876 0.433013 0.827934 1 1 1.15312 0.433013 0.827934 
0.155	0 0 0.346872 0.433013 0.827937 1 1 1.15313 0.433013 0.827937 
0.156	0 0 0.346868 0.433013 0.82794 1 1 1.15313 0.433013 0.82794 
0.157	0 0 0.346863 0.433013 0.827943 1 1 1.15314 0.433013 0.827943 
0.158	0 0 0.346858 0.433013 0.827946 1 1 1.15314 0.433013 0.827946 
0.159	0 0 0.346853 0.433013 0.827949 1 1 1.15315 0.433013 0.827949 
